NAME,POSTCODE,STREET,PLACES
SUMBAWANGA,55101,SUMBAWANGA,
SUMBAWANGA,55101,KASWEPEPE,
SUMBAWANGA,55101,MPASI,
SUMBAWANGA,55101,YESWE,
SUMBAWANGA,55101,KAMITA,
SUMBAWANGA,55101,TAMBASI,
SUMBAWANGA,55101,KATUMA,
SUMBAWANGA,55101,MBALIKA,
SUMBAWANGA,55101,HIJA,
SUMBAWANGA,55101,MAKUTANO,
SUMBAWANGA,55101,UFIPA,
SUMBAWANGA,55101,CHISICHA MFIPA,
SUMBAWANGA,55101,WAKUUNG'ANGA,
SUMBAWANGA,55101,ISACHI,
SUMBAWANGA,55101,KASONI,
SUMBAWANGA,55101,KIATU,
SUMBAWANGA,55101,KIMALAUNGA,
SUMBAWANGA,55101,KAPUFI,
SUMBAWANGA,55101,KATOLILE,
SUMBAWANGA,55101,MOMOKA,
SUMBAWANGA,55101,MTUMBUKA,
SUMBAWANGA,55101,KATUSA,
SUMBAWANGA,55101,NGALU,
IZIA,55102,HALMASHAURI,
IZIA,55102,IZIA,
IZIA,55102,MTONI,
IZIA,55102,MAKAZA,
IZIA,55102,MANZITISWE,
IZIA,55102,SHULE,
IZIA,55102,BANGWE,
IZIA,55102,MASIMBA,
IZIA,55102,KATI,
IZIA,55102,ZIMAMOTO,
IZIA,55102,U/NDEGE,
IZIA,55102,BURUDANI,
IZIA,55102,SOKO,
IZIA,55102,KAOZYA,
IZIA,55102,MBUGANI,
IZIA,55102,REGINAMUNDI,
IZIA,55102,YATIMA,
KATANDALA,55103,KATANDALA ‘C’,
KATANDALA,55103,KATANDALA ‘D’,
KATANDALA,55103,BOMANI,
KATANDALA,55103,BOMANI ‘B’,
KATANDALA,55103,MBIZI ‘C’,
KATANDALA,55103,MBIZI ‘B’,
KATANDALA,55103,COMUNITY CENTER,
KATANDALA,55103,JANGWANI,
KATANDALA,55103,NHC,
KATANDALA,55103,BOMANI,
KATANDALA,55103,SOKOMATOLA,
KATANDALA,55103,ANGLIKAN 'A',
KATANDALA,55103,ANGLIKAN 'B',
KATANDALA,55103,MBIZI ‘A’,
KATANDALA,55103,KATANDALA 'A',
KATANDALA,55103,KATANDALA 'B',
KATANDALA,55103,KASAKALAWE,
MALANGALI,55104,NYENGELE,
MALANGALI,55104,MUHAMA,
MALANGALI,55104,MJI MWEMA,
MALANGALI,55104,ISOFU,
MALANGALI,55104,"KILIMAHEWA ""A""",
MALANGALI,55104,"KILIMAHEWA ""B""",
MALANGALI,55104,KATINDI,
MALANGALI,55104,MALANGALI,
MALANGALI,55104,MAKAZI MAPYA,
KIZWITE,55105,SENTI,
KIZWITE,55105,KALANGASA,
KIZWITE,55105,MBUGANI,
KIZWITE,55105,KAWAMA,
KIZWITE,55105,BIBLE,
KIZWITE,55105,SOKOLO,
KIZWITE,55105,VUTA,
KIZWITE,55105,OTC,
KIZWITE,55105,NANTACHA,
KIZWITE,55105,NDUA,
KIZWITE,55105,MAJENGO,
KIZWITE,55105,KIZWITE,
KIZWITE,55105,TRM,
KIZWITE,55105,MAKWASA,
KIZWITE,55105,MTUMBUKA,
MAZWI,55106,RTC,
MAZWI,55106,TUKUYU,
MAZWI,55106,NHC,
MAZWI,55106,CLINIC,
MAZWI,55106,LWICHE,
MAZWI,55106,MSIKITINI,
MAZWI,55106,KIMITI,
MAZWI,55106,CHITEPO,
MAZWI,55106,LYANGALILE,
MAZWI,55106,NMC,
MAZWI,55106,ZAMBEZI,
MAZWI,55106,VIWANDA VIDOGO,
MAZWI,55106,MASHINE,
MAZWI,55106,MANDELA,
MAZWI,55106,KARUME,
MAZWI,55106,ITWELELE,
MAZWI,55106,NKASI,
MAZWI,55106,RURECU,
MAZWI,55106,MAJENGO,
MAJENGO,55107,MPONDA,
MAJENGO,55107,NAMABANGASA,
MAJENGO,55107,HIGHWAY,
MAJENGO,55107,MAJENGO ‘B’,
MAJENGO,55107,BWAWANI 'A',
MAJENGO,55107,BWAWANI B',
MAJENGO,55107,MAJENGO  'A',
MAJENGO,55107,MAJENGO  'C',
MAJENGO,55107,MAJENGO  'D',
MAJENGO,55107,MTAKUJA  'A',
MAJENGO,55107,MTAKUJA 'B',
MAJENGO,55107,KRISTU MFALME,
MAJENGO,55107,KALOLENI,
MAJENGO,55107,KING'OMBE,
CHANJI,55108,SOKODOGO,
CHANJI,55108,MIANZI,
CHANJI,55108,KAWAMA,
CHANJI,55108,CHANJI ‘A’,
CHANJI,55108,KICHANGANI,
CHANJI,55108,NAMTEKETA,
CHANJI,55108,NANKASI,
CHANJI,55108,KATI,
CHANJI,55108,BONDENI,
CHANJI,55108,BOMBANI,
CHANJI,55108,K/MAZOEZI,
CHANJI,55108,HALI YA HEWA,
CHANJI,55108,ST THERESIA,
